년도,합계,교장,교감,수석교사,보직교사,교사,전문상담교사,사서교사,실기교사,보건교사,영양교사,기간제교사
2011 ,7461 ,101 ,112 ,0 ,1219 ,5084 ,11 ,36 ,1 ,89 ,20 ,818 
2012 ,9843 ,143 ,140 ,26 ,1712 ,6570 ,13 ,45 ,1 ,117 ,35 ,1041 
2013 ,10508 ,161 ,160 ,33 ,1960 ,6865 ,22 ,43 ,0 ,128 ,46 ,1090 
2014 ,10442 ,162 ,161 ,32 ,1958 ,6745 ,26 ,40 ,1 ,125 ,47 ,1145 
2015 ,10288 ,159 ,167 ,29 ,1923 ,6562 ,32 ,38 ,1 ,121 ,44 ,1212 
2016 ,10231 ,157 ,157 ,34 ,1922 ,6471 ,34 ,37 ,1 ,123 ,46 ,1249 
2017 ,10163 ,155 ,155 ,35 ,1910 ,6364 ,33 ,40 ,1 ,117 ,55 ,1298 
2018 ,9966 ,154 ,153 ,32 ,1901 ,6172 ,45 ,54 ,0 ,121 ,58 ,1276 
2019 ,9879 ,154 ,150 ,31 ,1880 ,5949 ,49 ,53 ,0 ,122 ,67 ,1424 
2020 ,9226 ,146 ,145 ,26 ,1738 ,5489 ,55 ,55 ,0 ,117 ,73 ,1382 
2021 ,6855 ,110 ,105 ,22 ,1312 ,3933 ,44 ,39 ,0 ,88 ,67 ,1135 
