년도,계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2011,63727 ,14208 ,7484 ,3556 ,3370 ,1368 ,2790 ,1374 ,0 ,13759 ,1476 ,1423 ,1662 ,3263 ,1477 ,3339 ,2799 ,379 
2012,64468 ,13917 ,7778 ,3329 ,3708 ,1212 ,2508 ,2161 ,0 ,13575 ,1492 ,1846 ,2290 ,2942 ,1531 ,3061 ,2742 ,376 
2013,67099 ,14058 ,7700 ,3409 ,4247 ,1167 ,2481 ,1935 ,103 ,13316 ,1698 ,2121 ,2443 ,2979 ,2474 ,3833 ,2746 ,389 
2014,66928 ,13452 ,8166 ,3394 ,3965 ,1175 ,3010 ,1773 ,203 ,12843 ,1635 ,2099 ,2388 ,3109 ,2726 ,3859 ,2742 ,389 
2015,67529 ,12904 ,7853 ,3964 ,3767 ,1191 ,3203 ,2659 ,395 ,12494 ,1632 ,2116 ,2622 ,3141 ,2541 ,3889 ,2775 ,383 
2016,67607 ,13166 ,7718 ,3963 ,3860 ,1271 ,3052 ,2499 ,486 ,12333 ,1647 ,2138 ,2623 ,3142 ,2584 ,3919 ,2809 ,397 
2017,67960 ,12813 ,7607 ,4464 ,3902 ,1671 ,3035 ,2207 ,580 ,12276 ,1622 ,2158 ,2587 ,3385 ,2587 ,3907 ,2757 ,402 
2018,66693 ,12477 ,7476 ,4327 ,3916 ,1550 ,3052 ,2171 ,659 ,12017 ,1554 ,2171 ,2502 ,3177 ,2536 ,3967 ,2742 ,399 
2019,65244 ,12342 ,6872 ,4150 ,3865 ,1435 ,2973 ,2163 ,742 ,11844 ,1539 ,2196 ,2390 ,2951 ,2606 ,3933 ,2853 ,390 
2020,64493 ,12308 ,6848 ,4119 ,3779 ,1418 ,2949 ,2161 ,804 ,11943 ,1637 ,2216 ,2383 ,2815 ,2571 ,3230 ,2930 ,382 
2021,63181 ,12169 ,6770 ,4149 ,3713 ,1374 ,2292 ,2139 ,795 ,11973 ,1621 ,2134 ,2312 ,2604 ,2563 ,3234 ,2950 ,389 
